names,cusine,price,reviews_count,rating,address,url
Kricket Soho,Indian restaurant,££,"1,189 reviews",4.5,"12 Denman St, London W1D 7HJ","https://www.google.com/maps/place/Kricket+Soho/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d40af1695d:0x541519c451f66d70!8m2!3d51.5108075!4d-0.1351688!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgERaW5kaWFuX3Jlc3RhdXJhbnQ"
Moro,Spanish restaurant,£££,851 reviews,4.5,"34-36 Exmouth Market, London EC1R 4QE","https://www.google.com/maps/place/Moro/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48761b458234a1f7:0xdcf815e176917b55!8m2!3d51.5258809!4d-0.1089987!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESc3BhbmlzaF9yZXN0YXVyYW50"
The Ivy,British restaurant,£££,"2,320 reviews",4.5,"1-5 West St, London WC2H 9NQ","https://www.google.com/maps/place/The+Ivy/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604cd73cacb55:0xf70e3382d1ea5dc9!8m2!3d51.5128603!4d-0.128045!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESYnJpdGlzaF9yZXN0YXVyYW50"
Kerridge's Bar & Grill,Bar & grill,Not Available,509 reviews,4.6,,"https://www.google.com/maps/place/Kerridge's+Bar+%26+Grill/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x4876059c0e96220b:0xdfa11f2de56276ed!8m2!3d51.5067787!4d-0.1246626!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgENYmFyX2FuZF9ncmlsbJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSdFozVmlWMlZSRUFF"
FOLIE,Modern European restaurant,Not Available,281 reviews,4.5,,"https://www.google.com/maps/place/Gaucho+Piccadilly/@51.5077053,-0.1742585,13z/data=!4m7!1m3!2m2!1srestaurants+in+london+uk!6e5!3m2!1s0x487604d42b9f883f:0xf625c6cd02f26236!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEWYXJnZW50aW5pYW5fcmVzdGF1cmFudA"
Gaucho Piccadilly,Argentinian restaurant,£££,"3,068 reviews",4.3,"25 Swallow St, London W1B 4QR","https://www.google.com/maps/place/Gaucho+Piccadilly/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d42b9f883f:0xf625c6cd02f26236!8m2!3d51.5097608!4d-0.1379257!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEWYXJnZW50aW5pYW5fcmVzdGF1cmFudA"
Hawksmoor Air Street,Steak house,££££,"3,043 reviews",4.6,"5A Air St, London W1J 0AD","https://www.google.com/maps/place/Hawksmoor+Air+Street/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d41e4f9b97:0xfd117ecf2c565e5b!8m2!3d51.5097064!4d-0.1362074!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgELc3RlYWtfaG91c2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRPRTkyUTNKblJSQUI"
Barrafina,Tapas restaurant,£££,"1,883 reviews",4.5,"26-27 Dean St, London W1D 3LL","https://www.google.com/maps/place/Barrafina/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d2dc29e6a9:0xc52f51ca234cd897!8m2!3d51.51411!4d-0.1326671!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEQdGFwYXNfcmVzdGF1cmFudA"
Duck & Waffle,Modern European restaurant,£££,"7,136 reviews",4.2,"110 Bishopsgate, London EC2N 4AY","https://www.google.com/maps/place/Duck+%26+Waffle/@51.5077053,-0.1742585,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48761cb295f6ff5f:0xb3e4152c8e522a3c!8m2!3d51.5162529!4d-0.0811942!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEabW9kZXJuX2V1cm9wZWFuX3Jlc3RhdXJhbnQ"
Spaghetti House,Italian restaurant,££,"1,289 reviews",3.9,"24 Cranbourn St, London WC2H 7AB","https://www.google.com/maps/place/Spaghetti+House/@51.5077053,-0.1742585,13z/data=!3m1!5s0x487604cda2cb0ef5:0xeb0759e85fff23cf!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604cda2e7a5e7:0xb25db28992ba4761!8m2!3d51.5117969!4d-0.1275746!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
