names,summary,cusine,price,reviews_count,rating,address,url
Happy London,"International dishes, sushi & cocktails served in a relaxed grill & bar with booth seating.",Modern European restaurant,Not Available,"1,013 reviews",4.4,"25-29 Coventry St, London W1D 7AG","https://www.google.com/maps/place/Happy+London/@51.4996271,-0.1110446,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487605450b184bfb:0xc4f69bdc2f0263db!8m2!3d51.5101534!4d-0.1324234!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEabW9kZXJuX2V1cm9wZWFuX3Jlc3RhdXJhbnQ"
Murano,NA,Italian restaurant,££££,468 reviews,4.6,,"https://www.google.com/maps/place/Murano/@51.5071387,-0.1821935,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x4876052ed152494d:0x5ec0f4498cc76400!8m2!3d51.5071387!4d-0.1471746!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
St. JOHN Restaurant,Whitewashed ex-smokehouse where Fergus Henderson pioneered the resurgent interest in offal dishes.,British restaurant,£££,"1,675 reviews",4.5,"26 St John St, Barbican, London EC1M 4AY","https://www.google.com/maps/place/St.+JOHN+Restaurant/@51.5071387,-0.1821935,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48761b5161b93317:0x86773f8e76f37d7!8m2!3d51.5204616!4d-0.1014544!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESYnJpdGlzaF9yZXN0YXVyYW50"
The Ivy,Long-standing celebrity haunt in art deco surrounds for Modern British food and a pre-theatre menu.,British restaurant,£££,"2,323 reviews",4.5,"1-5 West St, London WC2H 9NQ","https://www.google.com/maps/place/The+Ivy/@51.5071387,-0.1821935,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604cd73cacb55:0xf70e3382d1ea5dc9!8m2!3d51.5128603!4d-0.128045!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESYnJpdGlzaF9yZXN0YXVyYW50"
Cicchetti,"A seasonal menu of Italian small plates, served in a sleek modern dining room with marble tables.",Italian restaurant,£££,"2,228 reviews",4.4,"215 Piccadilly, St. James's, London W1J 9HL","https://www.google.com/maps/place/Cicchetti/@51.5071387,-0.1821935,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d6ab463b4f:0xab4e014eb5e6125d!8m2!3d51.5094927!4d-0.1350617!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
Moro,"Creative North African & Spanish dishes, plus all-day tapas in a smart space with a relaxed vibe.",Spanish restaurant,£££,851 reviews,4.5,"34-36 Exmouth Market, London EC1R 4QE","https://www.google.com/maps/place/Moro/@51.5135502,-0.0949281,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x48761b458234a1f7:0xdcf815e176917b55!8m2!3d51.5258809!4d-0.1089987!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESc3BhbmlzaF9yZXN0YXVyYW50"
40 Maltby Street,"Artisanal foodstuffs, baked goods, fresh meats and vegetables on offer from bustling market stalls.",Wine bar,££,335 reviews,4.7,"40 Maltby St, London SE1 3PA","https://www.google.com/maps/place/40+Maltby+Street/@51.4996271,-0.1110446,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487603415a6b5673:0xd37b79cac69f3fb5!8m2!3d51.4996209!4d-0.0760364!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEId2luZV9iYXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmhkMWw2TUhoUlJSQUI"
Murano,NA,Italian restaurant,££££,468 reviews,4.6,,"https://www.google.com/maps/place/Murano/@51.5071387,-0.1821935,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x4876052ed152494d:0x5ec0f4498cc76400!8m2!3d51.5071387!4d-0.1471746!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
Prezzo London St Martins Lane,"Casual Italian chain restaurant for stone-baked pizzas and classic pastas, plus separate kids' menu.",Restaurant,££,984 reviews,4.1,"116 St Martin's Ln, London WC2N 4BD","https://www.google.com/maps/place/Prezzo+London+St+Martins+Lane/@51.5071387,-0.1821935,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604cdd7f7d6c3:0x33d4cd9f36a1b78e!8m2!3d51.5096752!4d-0.1271033!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEKcmVzdGF1cmFudA"
The Ivy,Long-standing celebrity haunt in art deco surrounds for Modern British food and a pre-theatre menu.,British restaurant,£££,"2,323 reviews",4.5,"1-5 West St, London WC2H 9NQ","https://www.google.com/maps/place/The+Ivy/@51.5071387,-0.1821935,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604cd73cacb55:0xf70e3382d1ea5dc9!8m2!3d51.5128603!4d-0.128045!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESYnJpdGlzaF9yZXN0YXVyYW50"
Cicchetti,"A seasonal menu of Italian small plates, served in a sleek modern dining room with marble tables.",Italian restaurant,£££,"2,228 reviews",4.4,"215 Piccadilly, St. James's, London W1J 9HL","https://www.google.com/maps/place/Cicchetti/@51.5071387,-0.1821935,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604d6ab463b4f:0xab4e014eb5e6125d!8m2!3d51.5094927!4d-0.1350617!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgESaXRhbGlhbl9yZXN0YXVyYW50"
Spring,NA,Modern European restaurant,£££,311 reviews,4.6,,"https://www.google.com/maps/place/Spring/@51.5071387,-0.1821935,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604ca132e7fc3:0x338742356bf710f6!8m2!3d51.510983!4d-0.1183386!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEabW9kZXJuX2V1cm9wZWFuX3Jlc3RhdXJhbnQ"
FOLIE,NA,Modern European restaurant,Not Available,282 reviews,4.5,,"https://www.google.com/maps/place/FOLIE/@51.5071387,-0.1821935,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x4876054f46b28e9b:0xb4a8dda5e797cf51!8m2!3d51.5121068!4d-0.1373675!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgEabW9kZXJuX2V1cm9wZWFuX3Jlc3RhdXJhbnQ"
The Northall,NA,European restaurant,Not Available,252 reviews,4.5,,"https://www.google.com/maps/place/The+Northall/@51.5071387,-0.1821935,13z/data=!4m10!1m3!2m2!1srestaurants+in+london+uk!6e5!3m5!1s0x487604cf2561c17f:0x453b76536ae717ef!8m2!3d51.506692!4d-0.124057!15sChhyZXN0YXVyYW50cyBpbiBsb25kb24gdWtaGiIYcmVzdGF1cmFudHMgaW4gbG9uZG9uIHVrkgETZXVyb3BlYW5fcmVzdGF1cmFudA"
